,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
0,1071,147025790,10250219281,684567013,195207458,9395550,16281907,43942839873,11155671209,75.87560800727546,0
1,21,8980,506318,46469,10410,700,89,2027800,563986,62.80467706013363,01001
2,21,9490,799175,86977,28269,795,913,3593345,916129,96.53624868282402,01002
3,17,170,2435,0,0,0,0,6715,2435,14.323529411764707,01003
4,21,2370,137832,11024,3010,192,0,548103,152058,64.15949367088608,01005
5,21,7580,556668,42872,16027,921,121,2385021,616609,81.34683377308707,01007
6,21,660,42848,3776,1116,86,0,171488,47826,72.46363636363637,01008
7,21,650,30583,2914,551,28,0,110336,34076,52.424615384615386,01009
8,21,1880,133878,10047,3744,213,28,568045,147910,78.67553191489361,01010
9,21,650,34065,2832,888,44,0,131316,37829,58.19846153846154,01011
10,21,350,25387,1717,779,30,0,98366,27913,79.75142857142858,01012
11,21,10550,431212,34399,5605,407,24,1557340,471647,44.705876777251184,01013
12,21,15170,719197,68077,11900,878,55,2697185,800107,52.74271588661833,01020
13,21,1150,51459,8151,654,57,0,181515,60321,52.45304347826087,01022
14,21,490,26049,2259,646,37,0,101139,28991,59.16530612244898,01026
15,21,9840,572085,50459,13283,682,244,2300397,636753,64.71067073170731,01027
16,21,8250,721434,52127,24340,1111,631,3262944,799643,96.92642424242425,01028
17,21,320,25800,2294,622,40,0,108217,28756,89.8625,01029
18,21,6000,387944,33641,9138,646,64,1603374,431433,71.9055,01030
19,21,500,23386,2213,320,18,0,83088,25937,51.874,01031
20,21,260,15460,1291,422,19,0,59377,17192,66.12307692307692,01032
21,21,3230,214836,17573,6428,337,27,899043,239201,74.05603715170278,01033
22,21,1040,72283,6234,1567,132,42,301970,80258,77.17115384615384,01034
23,21,2780,196345,19673,3870,221,147,822082,220256,79.22877697841727,01035
24,21,2680,229977,18747,7183,317,127,985939,256351,95.65335820895523,01036
25,21,390,27717,2428,706,32,0,113363,30883,79.18717948717949,01037
26,21,1300,95466,11604,2506,122,38,398141,109736,84.41230769230769,01038
27,21,780,56159,4367,1590,50,57,238129,62223,79.77307692307693,01039
