zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10001,New York,NY,,17,20139,64,73672,12,13352,4,6783,40.75138042085673,-73.9919451121082
10002,New York,NY,,29,26811,64,87914,6,5705,0,0,40.719674200415795,-73.98929062246366
10003,New York,NY,,21,28355,64,115635,9,13478,5,7834,40.730334622920005,-73.9892470022978
10004,New York,NY,,21,38197,52,113225,13,16930,5,5147,40.7152233839076,-73.99946863205253
10005,New York,NY,,22,4917,61,21109,9,2624,3,1330,40.70681820499065,-74.00885599279671
10006,New York,NY,,25,5000,57,15581,6,1506,4,1492,40.71041748027443,-74.01031247232396
10007,New York,NY,,21,4489,56,16660,12,5307,3,778,40.71394371489129,-74.00768959772994
10009,New York,NY,,22,25276,66,103451,10,11673,2,852,40.72678168608374,-73.98473484270409
10010,New York,NY,,13,15800,55,85243,26,27691,4,7114,40.73927564467236,-73.98632307912011
10011,New York,NY,,19,40897,51,89139,20,31188,8,16185,40.74106309648097,-73.99763406959451
10012,New York,NY,,17,21994,56,105487,22,26700,4,5243,40.72620841916058,-73.99739510448772
10013,New York,NY,,19,27788,48,65226,27,28513,5,1910,40.72123677251291,-74.00082456632619
10014,New York,NY,,15,18600,49,52722,30,33949,5,8643,40.73265218769736,-74.00313850223026
10016,New York,NY,,7,6226,62,63120,18,19892,7,12062,40.745948191554234,-73.98220250798384
10017,New York,NY,,15,20883,47,39323,20,17671,11,13470,40.754125619103185,-73.97542834751226
10018,New York,NY,,16,22434,67,77687,8,6440,6,9830,40.75716717437574,-73.98987678247647
10019,New York,NY,,13,25010,54,79356,17,18360,8,14686,40.76296887071979,-73.98593755871387
10020,New York,NY,,26,3321,45,16012,16,6846,7,6735,40.758060142157916,-73.98045440896068
10021,New York,NY,,14,4155,66,36569,11,10675,8,4485,40.76789933148711,-73.95918739403616
10022,New York,NY,,13,17697,48,34872,24,21003,9,10163,40.75822155687297,-73.9711680102359
10023,New York,NY,,12,5020,50,38010,23,13911,9,7485,40.77486769526511,-73.98086253385482
10024,New York,NY,,17,6519,72,56887,6,2340,0,0,40.794349071822374,-73.97126702414069
10025,New York,NY,,19,6757,71,49187,4,4018,0,0,40.79787870947368,-73.96606400279744
10026,New York,NY,,14,3405,78,29849,4,3236,0,0,40.80401744540478,-73.95451677661237
10027,Harlem,NY,,11,2257,79,28835,5,3321,1,104,40.81073169132923,-73.95274199138392
10028,New York,NY,,10,3492,73,40192,7,6153,5,2001,40.77565132966932,-73.95404285820469
10029,New York,NY,,36,3786,55,11893,4,1465,1,134,40.79196513635129,-73.9449664891541
10030,New York,NY,,31,2753,63,11380,3,344,1,104,40.81894665259082,-73.94635135650674
10031,New York,NY,,39,3189,53,13328,1,104,0,0,40.824722681420056,-73.94834572515637
10032,New York,NY,,31,4230,63,15416,0,0,0,0,40.83855257400032,-73.94280552419703
10033,New York,NY,,40,2321,52,7929,1,469,0,0,40.85123048766492,-73.93533435909144
10034,New York,NY,,25,2697,65,14163,2,562,0,0,40.8598907903713,-73.92823570586643
10035,New York,NY,,23,3997,67,32578,5,4942,1,134,40.79338086764943,-73.94280728611315
10036,New York,NY,,14,26909,62,75598,10,9960,8,11961,40.759449396319816,-73.9880318305911
10037,New York,NY,,18,1527,73,15585,4,3185,1,104,40.812686953222254,-73.94354855577006
10038,Brooklyn,NY,,33,28144,51,45962,8,4570,3,2287,40.71124717745312,-74.00145796955559
10039,New York,NY,,31,4250,64,18691,2,228,0,0,40.82883908343475,-73.94319036155615
10040,New York,NY,,32,2711,60,11418,2,562,0,0,40.85966054724919,-73.92964949506157
10041,New York,NY,,11,1125,25,7454,1,254,0,0,40.70389209484344,-74.01024015795218
10043,New York,NY,,8,251,6,730,1,74,0,0,40.705170616174755,-74.0071996262467
10044,New York,NY,,10,6806,63,49321,16,18188,8,7481,40.764193910244266,-73.9596839288756
10045,New York,NY,,30,2306,15,2403,2,596,0,0,40.70928950416344,-74.00937197025159
10046,New York,NY,,15,5487,77,44264,4,4208,0,0,40.8023493033262,-73.96100755615512
10055,New York,NY,,10,676,14,724,14,3132,3,499,40.75888478429883,-73.9741740597459
10065,New York,NY,,13,6804,59,36184,17,14131,10,5423,40.76404491830433,-73.96356446999438
10075,New York,NY,,11,3992,69,39140,9,7683,7,3856,40.774028407825284,-73.95593660895443
10079,New York,NY,,19,46374,51,126901,19,27800,8,17271,40.73799749145496,-73.99169002162635
10081,New York,NY,,25,2113,17,2518,2,23,1,257,40.70974744019816,-74.00953143413706
10082,New York,NY,,17,3336,57,17321,17,8598,3,685,40.7760568591499,-73.98052773924915
10087,New York,NY,,15,511,15,1921,0,0,0,0,40.75019898501435,-73.99001033383357
10095,New York,NY,,15,511,15,1921,0,0,0,0,40.75019898501435,-73.99001033383357
10096,New York,NY,,18,5455,58,18221,13,5457,4,1289,40.714931263850374,-74.00726652135704
10098,New York,NY,,24,10951,67,25567,6,2101,1,462,40.750463088977305,-73.99279191405476
10102,Corona,NY,,42,10944,50,13649,2,1209,0,0,40.74896067412632,-73.8811728483774
10103,New York,NY,,28,11029,20,2579,6,2237,8,1939,40.75543266787236,-73.95773964391638
10104,New York,NY,,30,2145,25,4310,9,3015,9,2176,40.753722702396736,-73.96339137441103
10105,New York,NY,,5,676,19,6529,8,2720,3,1312,40.76360553041679,-73.97977287742616
10106,New York,NY,,9,1437,19,3805,8,2620,1,888,40.765182066997696,-73.98101869662108
10107,New York,NY,,18,2233,39,7791,6,3036,0,0,40.76368088431637,-73.98320847378378
10108,New York,NY,,17,11206,65,59626,13,9769,4,3184,40.75883265653838,-73.99061393006929
10109,New York,NY,,12,4145,50,21047,14,6582,2,678,40.76008842280699,-73.98999734941901
10110,New York,NY,,10,637,10,774,5,1703,2,811,40.75473121054019,-73.98265410190717
10111,New York,NY,,1,59,1,1077,3,1060,0,0,40.75883540940921,-73.9778817052654
10112,New York,NY,,7,430,8,672,3,339,1,237,40.74930348442627,-73.99086257256664
10113,New York,NY,,3,181,14,6850,1,132,0,0,40.74164596394534,-73.99836186524169
10115,New York,NY,,1,31,1,1,0,0,0,0,40.81044114154637,-73.96330426120345
10116,New York,NY,,15,2528,20,3092,1,8,0,0,40.74518192800517,-74.00006921418127
10117,New York,NY,,15,2528,20,3092,1,8,0,0,40.74518192800517,-74.00006921418125
10118,New York,NY,,15,1698,31,7614,10,5271,0,0,40.746738744726336,-73.98435502656426
10119,New York,NY,,28,1589,31,3396,2,203,0,0,40.74717199923598,-73.9953093444995
10121,New York,NY,,24,1071,29,6097,0,0,0,0,40.74873201885343,-73.99133093657916
10122,New York,NY,,28,4106,38,6159,0,0,0,0,40.751378260822065,-73.99138879793038
10123,New York,NY,,22,3728,33,4478,1,315,0,0,40.75164364478222,-73.99133815628491
10125,New York,NY,,4,284,4,526,0,0,0,0,40.7995906625,-73.9686470125
10128,New York,NY,,15,4723,73,35954,7,4084,2,675,40.77844216493927,-73.95200603738812
10129,New York,NY,,8,503,7,638,3,878,2,811,40.7549478306665,-73.9811591213166
10138,New York,NY,,8,888,41,14242,34,9753,9,5745,40.765129330480406,-73.97048274204893
10149,New York,NY,,13,13413,60,57434,21,17965,5,9590,40.76332713496667,-73.98633329538154
10150,New York,NY,,29,2347,22,3556,2,419,4,492,40.7582073130231,-73.97024132549713
10152,New York,NY,,4,163,1,6,0,0,3,272,40.75859299742959,-73.97227931137323
10153,New York,NY,,4,244,9,837,7,3993,4,389,40.7637692984851,-73.97228411079287
10154,New York,NY,,0,0,3,900,0,0,3,272,40.75807214176165,-73.97257641918762
10155,New York,NY,,9,1136,10,2331,2,388,1,34,40.76080603309902,-73.96843723334408
10158,New York,NY,,10,1034,17,5156,2,1404,2,148,40.74908824716816,-73.97604255962352
10163,New York,NY,,31,1814,36,5829,4,487,0,0,40.752938166965144,-73.97440959680385
10164,New York,NY,,17,3918,55,18415,15,6627,6,2068,40.71578073633612,-74.00746173612173
10167,New York,NY,,4,142,3,105,0,0,1,110,40.75500931877204,-73.97496024901551
10168,New York,NY,,5,497,6,957,1,20,1,98,40.75151493061474,-73.97694779546619
10169,New York,NY,,4,246,20,2468,1,146,1,110,40.75637979266939,-73.97664174854395
10170,New York,NY,,23,1625,34,4269,8,2970,1,98,40.75261829591539,-73.97621756326845
10171,New York,NY,,11,326,15,1313,6,1068,0,0,40.75569721247639,-73.97386254463441
10172,New York,NY,,1,81,3,172,0,0,0,0,40.754675259121825,-73.9748639081213
10173,New York,NY,,4,276,2,219,0,0,0,0,40.75420107567856,-73.97927138081228
10174,New York,NY,,5,492,2,133,1,752,0,0,40.75157362902833,-73.97494802995448
10175,New York,NY,,17,9762,51,33487,16,11498,11,7044,40.753868205711996,-73.98083941375998
10176,New York,NY,,12,396,19,3342,7,1761,3,694,40.7555023002217,-73.97841719895952
