brooklyn,queens,bronx,staten_island
11201,11004,10451,10301
11202,11005,10452,10302
11203,11101,10453,10303
11204,11102,10454,10304
11205,11103,10455,10305
11206,11104,10456,10306
11207,11105,10457,10307
11208,11106,10458,10308
11209,11109,10459,10309
11210,11120,10460,10310
11211,11351,10461,10311
11212,11352,10462,10312
11213,11354,10463,10313
11214,11355,10464,10314
11215,11356,10465,
11216,11357,10466,
11217,11358,10467,
11218,11359,10468,
11219,11360,10469,
11220,11361,10470,
11221,11362,10471,
11222,11363,10472,
11223,11364,10473,
11224,11365,10474,
11225,11366,10475,
11226,11367,,
11228,11368,,
11229,11369,,
11230,11370,,
11231,11371,,
11232,11372,,
11233,11373,,
11234,11374,,
11235,11375,,
11236,11377,,
11237,11378,,
11238,11379,,
11239,11380,,
11241,11381,,
11242,11385,,
11243,11386,,
11245,11405,,
11247,11411,,
11249,11412,,
11251,11413,,
11252,11414,,
11256,11415,,
,11416,,
,11417,,
,11418,,
,11419,,
,11420,,
,11421,,
,11422,,
,11423,,
,11424,,
,11425,,
,11426,,
,11427,,
,11428,,
,11429,,
,11430,,
,11431,,
,11432,,
,11433,,
,11434,,
,11435,,
,11436,,
,11439,,
,11451,,
,11499,,
,11690,,
,11691,,
,11692,,
,11693,,
,11694,,
,11695,,
,11697,,
