zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence
35016,Arab,AL,34.33349599335068,-86.50098532396206,4,19,7,55,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7130,363111,45996,1352,297,61,1353497,410817,57.61809256661992
35071,Gardendale,AL,33.650618211197425,-86.81807243244141,11,99,10,275,0,0,0,0,1,8,12,33,1,4,0,0,0,0,0,0,0,0,0,0,7480,459107,42931,3303,674,107,1847517,506122,67.66336898395721
35210,Birmingham,AL,33.52796994574866,-86.72059444872902,25,549,5,255,0,0,0,0,7,69,11,56,2,15,0,0,0,0,1,3,0,0,0,0,6580,375294,29847,2652,540,350,1544135,408683,62.10987841945288
35674,Tuscumbia,AL,34.71545531993946,-87.70237792296439,8,77,2,34,0,0,1,9,0,0,3,12,1,3,0,0,0,0,0,0,0,0,0,0,7840,452481,43069,1297,321,76,1732701,497244,63.423979591836726
35677,Waterloo,AL,34.91,-88.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,30886,2545,46,15,0,104656,33492,46.51666666666666
35806,Huntsville,AL,34.74149608110167,-86.68080948348654,31,1152,36,3006,4,590,0,0,11,48,38,240,7,23,1,3,2,2,3,17,1,7,0,0,11180,788543,85261,4570,826,387,3272085,879587,78.67504472271915
35972,Gallant,AL,33.99,-86.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,22116,2065,58,20,0,77398,24259,49.50816326530612
36088,Tuskegee,AL,32.4179243475783,-85.7123675523651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,28729,5370,89,43,0,100679,34231,33.8920792079208
36093,Wetumpka,AL,32.49381082542349,-86.21104648367029,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5030,380503,52461,1680,354,126,1546935,435124,86.50576540755469
36426,Brewton,AL,31.131654694244624,-87.09863051377177,5,17,4,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5640,249653,26694,732,209,67,904251,277355,49.17641843971632
36441,Flomaton,AL,31.010627688960124,-87.26108517913202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,66115,4955,143,40,0,232600,71253,48.803424657534244
36444,Franklin,AL,31.71,-87.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,7919,795,0,0,0,25644,8714,41.49523809523809
36529,Deer Park,AL,31.21,-88.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,10940,836,26,10,0,38689,11812,53.69090909090909
36585,Wagarville,AL,31.386908,-88.037925,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,19555,1458,24,13,0,68788,21050,53.97435897435897
36605,Mobile,AL,30.61764695889234,-88.08842367546521,4,13,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10890,349091,31433,1391,347,126,1301447,382388,35.11368227731864
36618,Mobile,AL,30.733420223496854,-88.17595237853159,7,35,4,23,0,0,0,0,4,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,7610,296248,27978,1484,495,4,1120090,326209,42.865834428383714
36784,Thomasville,AL,31.92796202536884,-87.73883549264406,4,17,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080,149221,12891,509,155,0,575676,162776,52.849350649350654
36877,Smiths Station,AL,32.52778923369969,-85.0906270237665,2,14,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4960,256256,26396,1481,371,61,996424,284565,57.371975806451616
99578,Eek,AK,60.21,-162.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,4233,0,0,0,0,12076,4233,26.45625
99621,Kwethluk,AK,60.79,-161.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,6275,0,0,0,0,17979,6275,26.14583333333333
99826,Gustavus,AK,58.42,-135.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,14706,1964,0,0,0,47367,16670,59.53571428571429
85003,Phoenix,AZ,33.45,-112.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,282886,12752,2758,360,185,1238941,298941,76.65153846153846
