zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10001,New York,NY,restaurants,47,4032,47,7811,1,195,3,76,40.75,-74.0
10001,New York,NY,shopping,9,35,52,1212,15,271,10,91,40.75,-74.0
10001,New York,NY,localservices,1,9,16,876,2,11,1,12,40.75,-74.0
10002,New York,NY,restaurants,51,11313,65,22793,3,790,2,325,40.71,-73.99
10002,New York,NY,shopping,18,182,42,1036,19,436,11,214,40.71,-73.99
10002,New York,NY,localservices,12,339,13,339,3,62,0,0,40.71,-73.99
10003,New York,NY,restaurants,40,9453,71,46659,7,4198,2,257,40.73,-73.99
10003,New York,NY,shopping,14,2713,57,2931,25,1134,5,75,40.73,-73.99
10003,New York,NY,localservices,12,434,20,1086,12,296,1,9,40.73,-73.99
10004,New York,NY,restaurants,47,2869,42,8986,4,1627,3,1159,40.69,-74.02
10004,New York,NY,shopping,0,0,13,143,6,116,2,5,40.69,-74.02
10004,New York,NY,localservices,2,142,2,34,1,35,0,0,40.69,-74.02
10005,New York,NY,restaurants,20,1630,15,1696,2,163,2,180,40.71,-74.01
10005,New York,NY,shopping,3,25,12,465,1,2,4,195,40.71,-74.01
10005,New York,NY,localservices,0,0,4,96,0,0,0,0,40.71,-74.01
10006,New York,NY,restaurants,14,1001,22,4872,3,333,0,0,40.71,-74.01
10006,New York,NY,shopping,1,8,10,213,2,112,2,13,40.71,-74.01
10006,New York,NY,localservices,1,8,1,9,0,0,0,0,40.71,-74.01
10007,New York,NY,restaurants,28,2389,45,6734,6,1072,3,363,40.71,-74.01
10007,New York,NY,shopping,7,103,21,329,18,403,2,31,40.71,-74.01
10007,New York,NY,localservices,1,7,5,47,1,81,1,9,40.71,-74.01
10008,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10008,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10008,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10009,New York,NY,restaurants,37,4920,76,23505,10,3476,1,414,40.73,-73.98
10009,New York,NY,shopping,18,1738,43,1270,10,424,5,27,40.73,-73.98
10009,New York,NY,localservices,12,388,19,586,2,38,0,0,40.73,-73.98
10010,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.74,-73.98
10010,New York,NY,shopping,0,0,0,0,0,0,0,0,40.74,-73.98
10010,New York,NY,localservices,0,0,0,0,0,0,0,0,40.74,-73.98
10011,New York,NY,restaurants,32,3022,73,21503,9,5411,2,219,40.74,-74.0
10011,New York,NY,shopping,5,22,60,2124,31,1867,8,109,40.74,-74.0
10011,New York,NY,localservices,4,20,27,1568,9,292,4,53,40.74,-74.0
10012,New York,NY,restaurants,27,6787,72,29086,28,19227,2,896,40.73,-74.0
10012,New York,NY,shopping,5,734,27,1454,49,1988,28,431,40.73,-74.0
10012,New York,NY,localservices,2,9,15,459,4,556,4,60,40.73,-74.0
10013,New York,NY,restaurants,25,5029,74,19505,13,2796,4,896,40.72,-74.0
10013,New York,NY,shopping,11,129,44,1842,27,754,14,141,40.72,-74.0
10013,New York,NY,localservices,6,300,18,433,3,37,0,0,40.72,-74.0
10014,New York,NY,restaurants,17,5524,72,28388,27,14716,4,2612,40.73,-74.01
10014,New York,NY,shopping,4,100,47,1232,45,656,14,131,40.73,-74.01
10014,New York,NY,localservices,5,412,18,548,7,114,1,12,40.73,-74.01
10015,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.0
10015,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.0
10015,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.0
10016,New York,NY,restaurants,35,2926,81,23718,8,583,3,942,40.75,-73.98
10016,New York,NY,shopping,7,109,46,2191,25,798,11,62,40.75,-73.98
10016,New York,NY,localservices,9,249,29,1089,18,301,2,6,40.75,-73.98
10017,New York,NY,restaurants,42,3299,44,8796,7,3918,2,1061,40.75,-73.97
10017,New York,NY,shopping,5,70,55,1536,28,1148,7,87,40.75,-73.97
10017,New York,NY,localservices,3,25,13,410,4,44,2,32,40.75,-73.97
10018,New York,NY,restaurants,45,5350,60,12976,4,1141,0,0,40.76,-73.99
10018,New York,NY,shopping,7,89,49,1725,19,302,4,22,40.76,-73.99
10018,New York,NY,localservices,2,15,12,440,0,0,1,119,40.76,-73.99
10019,New York,NY,restaurants,30,4968,75,23401,18,8449,1,62,40.77,-73.99
10019,New York,NY,shopping,7,253,54,1644,23,494,11,63,40.77,-73.99
10019,New York,NY,localservices,4,232,20,440,9,213,2,26,40.77,-73.99
10020,New York,NY,restaurants,8,431,12,2215,9,3102,1,2667,40.76,-73.98
10020,New York,NY,shopping,2,38,8,676,8,236,2,33,40.76,-73.98
10020,New York,NY,localservices,1,20,0,0,1,29,0,0,40.76,-73.98
10021,New York,NY,restaurants,22,1754,59,14433,13,1507,6,854,40.77,-73.96
10021,New York,NY,shopping,6,43,40,680,36,522,8,74,40.77,-73.96
10021,New York,NY,localservices,5,127,17,155,7,239,4,23,40.77,-73.96
10022,New York,NY,restaurants,45,4076,61,13174,12,2758,9,1422,40.76,-73.97
10022,New York,NY,shopping,7,258,34,1064,32,1004,15,271,40.76,-73.97
10022,New York,NY,localservices,7,99,15,382,6,97,9,281,40.76,-73.97
10023,New York,NY,restaurants,25,3967,70,18492,24,9048,3,682,40.78,-73.98
10023,New York,NY,shopping,7,54,61,1849,44,1386,1,10,40.78,-73.98
10023,New York,NY,localservices,3,28,21,294,13,603,3,33,40.78,-73.98
10024,New York,NY,restaurants,21,1444,97,38643,9,2072,2,324,40.8,-73.97
10024,New York,NY,shopping,8,252,68,2564,38,1129,4,82,40.8,-73.97
10024,New York,NY,localservices,7,183,27,549,8,153,1,15,40.8,-73.97
10025,New York,NY,restaurants,52,5672,75,13945,2,419,0,0,40.8,-73.97
10025,New York,NY,shopping,17,259,64,1915,16,287,2,15,40.8,-73.97
10025,New York,NY,localservices,12,205,24,475,9,155,3,61,40.8,-73.97
10026,New York,NY,restaurants,19,291,42,13228,2,249,1,1,40.8,-73.95
10026,New York,NY,shopping,6,88,8,276,3,45,3,23,40.8,-73.95
10026,New York,NY,localservices,4,63,5,216,3,20,2,14,40.8,-73.95
10027,New York,NY,restaurants,43,1321,61,12881,4,3187,1,2,40.81,-73.95
10027,New York,NY,shopping,17,129,46,730,12,124,3,25,40.81,-73.95
10027,New York,NY,localservices,4,30,10,269,2,11,1,12,40.81,-73.95
10028,New York,NY,restaurants,25,2740,64,17826,19,3426,4,223,40.78,-73.95
10028,New York,NY,shopping,11,163,53,1858,22,637,7,132,40.78,-73.95
10028,New York,NY,localservices,7,102,22,261,6,75,3,31,40.78,-73.95
10029,New York,NY,restaurants,69,2939,37,3666,2,1025,2,13,40.79,-73.94
10029,New York,NY,shopping,25,265,29,273,4,29,5,37,40.79,-73.94
10029,New York,NY,localservices,9,120,9,59,3,13,1,9,40.79,-73.94
10030,New York,NY,restaurants,14,700,12,1718,1,104,0,0,40.82,-73.94
10030,New York,NY,shopping,4,73,7,76,2,57,0,0,40.82,-73.94
10030,New York,NY,localservices,4,22,4,40,0,0,0,0,40.82,-73.94
10031,New York,NY,restaurants,57,2192,39,7553,0,0,0,0,40.83,-73.95
10031,New York,NY,shopping,7,42,15,204,5,30,0,0,40.83,-73.95
10031,New York,NY,localservices,8,83,9,141,1,10,1,10,40.83,-73.95
10032,New York,NY,restaurants,55,2581,24,2414,0,0,1,10,40.84,-73.94
10032,New York,NY,shopping,14,58,18,250,2,32,2,3,40.84,-73.94
10032,New York,NY,localservices,6,49,5,33,3,26,0,0,40.84,-73.94
10033,New York,NY,restaurants,36,1447,33,5102,1,2,0,0,40.85,-73.93
10033,New York,NY,shopping,7,31,17,149,2,13,7,60,40.85,-73.93
10033,New York,NY,localservices,4,29,4,40,1,12,1,17,40.85,-73.93
10034,New York,NY,restaurants,35,1250,47,7043,1,90,0,0,40.87,-73.92
10034,New York,NY,shopping,5,59,14,215,2,7,1,3,40.87,-73.92
10034,New York,NY,localservices,3,20,4,56,1,4,0,0,40.87,-73.92
10035,New York,NY,restaurants,32,833,17,2013,0,0,0,0,40.8,-73.93
10035,New York,NY,shopping,13,114,21,894,0,0,1,1,40.8,-73.93
10035,New York,NY,localservices,2,12,2,22,0,0,0,0,40.8,-73.93
10036,New York,NY,restaurants,31,5398,81,37827,12,4130,8,2551,40.76,-73.99
10036,New York,NY,shopping,7,193,54,2194,18,544,3,37,40.76,-73.99
10036,New York,NY,localservices,3,60,6,212,2,8,0,0,40.76,-73.99
10037,New York,NY,restaurants,13,266,3,183,0,0,0,0,40.81,-73.94
10037,New York,NY,shopping,3,33,3,32,0,0,1,2,40.81,-73.94
10037,New York,NY,localservices,1,5,4,75,1,4,0,0,40.81,-73.94
