zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10001,New York,NY,restaurants,47,4032,47,7811,1,195,3,76,40.74968907609613,-73.99351372060609
10001,New York,NY,shopping,9,35,52,1212,15,271,10,91,40.74930457057487,-73.99312947626828
10001,New York,NY,localservices,1,9,16,876,2,11,1,12,40.74958102729716,-73.99289220402866
10002,New York,NY,restaurants,51,11313,65,22793,3,790,2,325,40.71846431127603,-73.98981143590585
10002,New York,NY,shopping,18,182,42,1036,19,436,11,214,40.71823332876127,-73.99003118766991
10002,New York,NY,localservices,12,339,13,339,3,62,0,0,40.71786218539366,-73.98963806174237
10003,New York,NY,restaurants,40,9453,71,46659,7,4198,2,257,40.731163577044946,-73.98860266340792
10003,New York,NY,shopping,14,2713,57,2931,25,1134,5,75,40.73114751241125,-73.9893315212462
10003,New York,NY,localservices,12,434,20,1086,12,296,1,9,40.73135057257686,-73.98961682063526
10004,New York,NY,restaurants,47,2869,42,8986,4,1627,3,1159,40.70419347780757,-74.01195246505792
10004,New York,NY,shopping,0,0,13,143,6,116,2,5,40.70429530627578,-74.01187203817429
10004,New York,NY,localservices,2,142,2,34,1,35,0,0,40.704710983202794,-74.01256274244531
10005,New York,NY,restaurants,20,1630,15,1696,2,163,2,180,40.706003170873,-74.0086242811806
10005,New York,NY,shopping,3,25,12,465,1,2,4,195,40.70613913114312,-74.00894029829706
10005,New York,NY,localservices,0,0,4,96,0,0,0,0,40.70634122251295,-74.00889549678415
10006,New York,NY,restaurants,14,1001,22,4872,3,333,0,0,40.70842904684856,-74.01313601358278
10006,New York,NY,shopping,1,8,10,213,2,112,2,13,40.70802739703215,-74.01283986851546
10006,New York,NY,localservices,1,8,1,9,0,0,0,0,40.70803658082646,-74.01292611976655
10007,New York,NY,restaurants,28,2389,45,6734,6,1072,3,363,40.714352447199694,-74.00834021092784
10007,New York,NY,shopping,7,103,21,329,18,403,2,31,40.713710147049746,-74.00907135993036
10007,New York,NY,localservices,1,7,5,47,1,81,1,9,40.71358072974049,-74.00845112521587
10008,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10008,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10008,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10009,New York,NY,restaurants,37,4920,76,23505,10,3476,1,414,40.7266971186459,-73.98099517896311
10009,New York,NY,shopping,18,1738,43,1270,10,424,5,27,40.7269180077813,-73.98203887596823
10009,New York,NY,localservices,12,388,19,586,2,38,0,0,40.72624685297727,-73.98135756041515
10010,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10010,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10010,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10011,New York,NY,restaurants,32,3022,73,21503,9,5411,2,219,40.74039955926841,-73.99878299626903
10011,New York,NY,shopping,5,22,60,2124,31,1867,8,109,40.740314650812735,-73.99823969979477
10011,New York,NY,localservices,4,20,27,1568,9,292,4,53,40.7405803412781,-73.9973607471548
10012,New York,NY,restaurants,27,6787,72,29086,28,19227,2,896,40.7252297236047,-73.99792381935926
10012,New York,NY,shopping,5,734,27,1454,49,1988,28,431,40.72506711827457,-73.9981390402248
10012,New York,NY,localservices,2,9,15,459,4,556,4,60,40.72587051288206,-73.99826330790407
10013,New York,NY,restaurants,25,5029,74,19505,13,2796,4,896,40.719118572158386,-74.00165116056006
10013,New York,NY,shopping,11,129,44,1842,27,754,14,141,40.71961203958417,-74.0018058258369
10013,New York,NY,localservices,6,300,18,433,3,37,0,0,40.718589681479074,-74.00119987092926
10014,New York,NY,restaurants,17,5524,72,28388,27,14716,4,2612,40.73390383817504,-74.00430640183207
10014,New York,NY,shopping,4,100,47,1232,45,656,14,131,40.734281916794295,-74.00403064093881
10014,New York,NY,localservices,5,412,18,548,7,114,1,12,40.73379550424847,-74.00478424550842
10015,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10015,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10015,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10016,New York,NY,restaurants,35,2926,81,23718,8,583,3,942,40.74564745199844,-73.98073618124491
10016,New York,NY,shopping,7,109,46,2191,25,798,11,62,40.74604128516343,-73.98108808519642
10016,New York,NY,localservices,9,249,29,1089,18,301,2,6,40.74567366200767,-73.98098474177588
10017,New York,NY,restaurants,42,3299,44,8796,7,3918,2,1061,40.75278582442066,-73.97433762574407
10017,New York,NY,shopping,5,70,55,1536,28,1148,7,87,40.75231252936174,-73.9757038368831
10017,New York,NY,localservices,3,25,13,410,4,44,2,32,40.75300475152409,-73.9745739657411
10018,New York,NY,restaurants,45,5350,60,12976,4,1141,0,0,40.75387580792032,-73.98928677889444
10018,New York,NY,shopping,7,89,49,1725,19,302,4,22,40.75389843759066,-73.98971775503817
10018,New York,NY,localservices,2,15,12,440,0,0,1,119,40.753693741900804,-73.9901400228603
10019,New York,NY,restaurants,30,4968,75,23401,18,8449,1,62,40.76316329761908,-73.98342311885774
10019,New York,NY,shopping,7,253,54,1644,23,494,11,63,40.763991699155376,-73.98278625146371
10019,New York,NY,localservices,4,232,20,440,9,213,2,26,40.764788529708646,-73.9830954899391
10020,New York,NY,restaurants,8,431,12,2215,9,3102,1,2667,40.759527440584804,-73.9803180377477
10020,New York,NY,shopping,2,38,8,676,8,236,2,33,40.75895046225291,-73.97927844167435
10020,New York,NY,localservices,1,20,0,0,1,29,0,0,40.75866385555556,-73.97883182222222
10021,New York,NY,restaurants,22,1754,59,14433,13,1507,6,854,40.76909571709588,-73.95848374278508
10021,New York,NY,shopping,6,43,40,680,36,522,8,74,40.769824080155665,-73.96027552889699
10021,New York,NY,localservices,5,127,17,155,7,239,4,23,40.76909077825482,-73.95913543071869
10022,New York,NY,restaurants,45,4076,61,13174,12,2758,9,1422,40.758777159460344,-73.96908338243266
10022,New York,NY,shopping,7,258,34,1064,32,1004,15,271,40.75984775814336,-73.96872619147385
10022,New York,NY,localservices,7,99,15,382,6,97,9,281,40.75852486351993,-73.96810924493863
10023,New York,NY,restaurants,25,3967,70,18492,24,9048,3,682,40.776917160712415,-73.98074832150799
10023,New York,NY,shopping,7,54,61,1849,44,1386,1,10,40.7769442482697,-73.98105025138067
10023,New York,NY,localservices,3,28,21,294,13,603,3,33,40.7768665080372,-73.98205786299872
10024,New York,NY,restaurants,21,1444,97,38643,9,2072,2,324,40.78533968813434,-73.97612220928596
10024,New York,NY,shopping,8,252,68,2564,38,1129,4,82,40.78547015013642,-73.97640037219733
10024,New York,NY,localservices,7,183,27,549,8,153,1,15,40.786244993213224,-73.9755964746591
10025,New York,NY,restaurants,52,5672,75,13945,2,419,0,0,40.79880835185748,-73.96769600568673
10025,New York,NY,shopping,17,259,64,1915,16,287,2,15,40.797673365543346,-73.96833931783809
10025,New York,NY,localservices,12,205,24,475,9,155,3,61,40.797702051384924,-73.96825244385822
10026,New York,NY,restaurants,19,291,42,13228,2,249,1,1,40.80307148769923,-73.95332890003844
10026,New York,NY,shopping,6,88,8,276,3,45,3,23,40.80262442180224,-73.95179321524581
10026,New York,NY,localservices,4,63,5,216,3,20,2,14,40.80280724374436,-73.95306509616698
10027,New York,NY,restaurants,43,1321,61,12881,4,3187,1,2,40.811149011188284,-73.95266117301254
10027,New York,NY,shopping,17,129,46,730,12,124,3,25,40.810275836972714,-73.95013368120308
10027,New York,NY,localservices,4,30,10,269,2,11,1,12,40.81058373588761,-73.95246280016889
10028,New York,NY,restaurants,25,2740,64,17826,19,3426,4,223,40.77641842380273,-73.95383093825723
10028,New York,NY,shopping,11,163,53,1858,22,637,7,132,40.77725707062544,-73.9544371970905
10028,New York,NY,localservices,7,102,22,261,6,75,3,31,40.77640720450631,-73.95395806457427
10029,New York,NY,restaurants,69,2939,37,3666,2,1025,2,13,40.79207615634044,-73.94444893005999
10029,New York,NY,shopping,25,265,29,273,4,29,5,37,40.79293762885975,-73.94423517479959
10029,New York,NY,localservices,9,120,9,59,3,13,1,9,40.79261847533571,-73.94516857011821
10030,New York,NY,restaurants,14,700,12,1718,1,104,0,0,40.81851320958264,-73.94330440695784
10030,New York,NY,shopping,4,73,7,76,2,57,0,0,40.81795870492324,-73.94362664494143
10030,New York,NY,localservices,4,22,4,40,0,0,0,0,40.818027002421104,-73.94319362092286
10031,New York,NY,restaurants,57,2192,39,7553,0,0,0,0,40.82517276579045,-73.94964459163592
10031,New York,NY,shopping,7,42,15,204,5,30,0,0,40.82482412227933,-73.95064204545743
10031,New York,NY,localservices,8,83,9,141,1,10,1,10,40.8248761897707,-73.94924960430657
10032,New York,NY,restaurants,55,2581,24,2414,0,0,1,10,40.83856323826921,-73.94107353179902
10032,New York,NY,shopping,14,58,18,250,2,32,2,3,40.838259046016724,-73.94105665015225
10032,New York,NY,localservices,6,49,5,33,3,26,0,0,40.83777638516928,-73.9411171856161
10033,New York,NY,restaurants,36,1447,33,5102,1,2,0,0,40.84938271356772,-73.93608313434383
10033,New York,NY,shopping,7,31,17,149,2,13,7,60,40.8496735354373,-73.93525761404554
10033,New York,NY,localservices,4,29,4,40,1,12,1,17,40.849266562606594,-73.93678497118051
10034,New York,NY,restaurants,35,1250,47,7043,1,90,0,0,40.86629164672607,-73.92109058290883
10034,New York,NY,shopping,5,59,14,215,2,7,1,3,40.86676397718852,-73.92197915908173
10034,New York,NY,localservices,3,20,4,56,1,4,0,0,40.86713931067542,-73.92202688370509
10035,New York,NY,restaurants,32,833,17,2013,0,0,0,0,40.80039924925266,-73.93894501866468
10035,New York,NY,shopping,13,114,21,894,0,0,1,1,40.80067389469174,-73.93749409826482
10035,New York,NY,localservices,2,12,2,22,0,0,0,0,40.801485316264234,-73.93819489061413
10036,New York,NY,restaurants,31,5398,81,37827,12,4130,8,2551,40.758904434823464,-73.98800445684262
10036,New York,NY,shopping,7,193,54,2194,18,544,3,37,40.75680662670356,-73.987831757625
10036,New York,NY,localservices,3,60,6,212,2,8,0,0,40.75865246211367,-73.9879861276992
10037,New York,NY,restaurants,13,266,3,183,0,0,0,0,40.81468687832874,-73.93944205649625
10037,New York,NY,shopping,3,33,3,32,0,0,1,2,40.8134388319397,-73.94035029807688
10037,New York,NY,localservices,1,5,4,75,1,4,0,0,40.81409068709962,-73.9386725094534
10038,New York,NY,restaurants,39,3454,58,10372,7,1164,2,375,40.70876909559317,-72.82143839413436
10038,New York,NY,shopping,17,417,46,874,8,130,4,68,40.708968314247336,-74.00656370646232
10038,New York,NY,localservices,4,195,9,378,0,0,2,25,40.70920094106103,-74.00165408977587
10039,New York,NY,restaurants,17,202,8,435,0,0,0,0,40.82464599748759,-73.93942547730771
10039,New York,NY,shopping,2,13,4,42,0,0,2,5,40.823801001734346,-73.94039828379483
10039,New York,NY,localservices,1,4,3,44,1,7,0,0,40.82495180307726,-73.93807403263834
10040,New York,NY,restaurants,29,901,19,2291,1,469,0,0,40.858937831299876,-73.9291357774359
10040,New York,NY,shopping,10,39,10,122,0,0,0,0,40.86028840354684,-73.9282667924618
10040,New York,NY,localservices,5,30,2,9,0,0,0,0,40.85896073624372,-73.92914636722911
10041,New York,NY,restaurants,0,0,1,14,0,0,0,0,40.70338455,-74.00923399999999
10041,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10041,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10043,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10043,New York,NY,shopping,0,0,0,0,0,0,0,0,40.704792,-74.007255
10043,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10044,New York,NY,restaurants,4,155,2,180,0,0,0,0,40.761337457895856,-73.95058355368386
10044,New York,NY,shopping,2,14,0,0,0,0,0,0,40.76035836460657,-73.95162354792983
10044,New York,NY,localservices,1,1,0,0,0,0,1,10,40.76195329591832,-73.94996842251622
10045,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10045,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10045,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10046,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10046,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10046,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10047,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10047,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10047,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10048,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10048,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10048,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10055,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10055,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10055,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10060,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10060,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10060,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10065,New York,NY,restaurants,14,901,47,8943,19,3505,5,2041,40.76413744806813,-73.96410141276051
10065,New York,NY,shopping,4,83,33,858,24,515,9,72,40.764532457026675,-73.96496826262906
10065,New York,NY,localservices,5,113,7,94,2,12,6,234,40.76413845237178,-73.96311164363708
10069,New York,NY,restaurants,1,45,1,87,0,0,0,0,40.7771959484975,-73.9884577358847
10069,New York,NY,shopping,0,0,0,0,0,0,0,0,40.7834014892578,-73.9663009643555
10069,New York,NY,localservices,0,0,0,0,0,0,0,0,40.777998362874335,-73.9883377063802
10072,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10072,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10072,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10075,New York,NY,restaurants,12,2401,33,9894,5,2135,1,14,40.77294258765893,-73.9562959073272
10075,New York,NY,shopping,0,0,10,126,13,248,7,125,40.77326258374943,-73.95725553674342
10075,New York,NY,localservices,1,5,4,59,4,154,0,0,40.77322254416404,-73.95646811372218
10079,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10079,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10079,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10080,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10080,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10080,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10081,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10081,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10081,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10082,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10082,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10082,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10087,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10087,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10087,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10090,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10090,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10090,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10094,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10094,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10094,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10095,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10095,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10095,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10096,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10096,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10096,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10098,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10098,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10098,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10099,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10099,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10099,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10101,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10101,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10101,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10102,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10102,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10102,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10103,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10103,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10103,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10104,New York,NY,restaurants,1,142,1,238,0,0,0,0,40.760659253188194,-73.97912704881135
10104,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10104,New York,NY,localservices,0,0,0,0,0,0,0,0,40.7608415,-73.9795183
10105,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
10105,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10105,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10106,New York,NY,restaurants,0,0,0,0,1,505,0,0,40.765225820596,-73.980664908886
10106,New York,NY,shopping,0,0,0,0,0,0,0,0,,
10106,New York,NY,localservices,0,0,0,0,0,0,0,0,,
10107,New York,NY,restaurants,0,0,0,0,0,0,0,0,,
