col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
1,Char Burger,$,"['Hot Dogs', 'Burgers']",['(256) 505-4720'],(256) 505-4720,3848 Al Highway 69,/biz/char-burger-guntersville?osq=restaurants,Arab,AL,35016
2,Rainbow 278 Cafe,$,"['American (Traditional)', 'Breakfast & Brunch']",['(205) 429-2150'],(205) 429-2150,78877 U S Hwy 278,/biz/rainbow-278-cafe-blountsville?osq=restaurants,Arab,AL,35016
3,Brandin Iron Steakhouse,$,"['Steakhouses', 'American (Traditional)']",['(256) 796-9118'],(256) 796-9118,430 Welcome Rd,/biz/brandin-iron-steakhouse-fairview?osq=restaurants,Arab,AL,35016
4,Waffle House,$,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']",['(256) 582-0730'],(256) 582-0730,2053 Gunter Ave,/biz/waffle-house-guntersville-3?osq=restaurants,Arab,AL,35016
5,Midas Burger,$,['American (Traditional)'],['(256) 586-3275'],(256) 586-3275,221 N Brindlee Mountain Pkwy,/biz/midas-burger-arab?osq=restaurants,Arab,AL,35016
6,Pizza Hut,$,"['Pizza', 'Italian', 'Chicken Wings']",['(256) 582-6141'],(256) 582-6141,14365 Hwy 431 S,/biz/pizza-hut-guntersville?osq=restaurants,Arab,AL,35016
7,Grumpy’s Pizza & Pasta Shop,$,"['Pizza', 'Pasta Shops']",['(256) 931-2335'],(256) 931-2335,1054 N Brindlee Mtn Pkwy,/biz/grumpys-pizza-and-pasta-shop-arab?osq=restaurants,Arab,AL,35016
8,Wendy’s,$,"['Burgers', 'Fast Food']",['(256) 582-7972'],(256) 582-7972,1701 Gunter Ave,/biz/wendys-guntersville?osq=restaurants,Arab,AL,35016
9,LeCroy’s,$,"['Barbeque', 'American (New)']",['(256) 498-7675'],(256) 498-7675,848 Apple Grove Rd,/biz/lecroys-union-grove?osq=restaurants,Arab,AL,35016
10,McDonald’s,$,"['Fast Food', 'Burgers', 'Coffee & Tea']",['(256) 582-2805'],(256) 582-2805,1745 Gunter Ave,/biz/mcdonalds-guntersville?osq=restaurants,Arab,AL,35016
11,Huddle House,$,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']",['(256) 582-8019'],(256) 582-8019,1830 Gunter Avenue,/biz/huddle-house-guntersville?osq=restaurants,Arab,AL,35016
12,L Rancho Cafe,$,['Southern'],['(256) 586-9913'],(256) 586-9913,41 N Main St,/biz/l-rancho-cafe-arab?osq=restaurants,Arab,AL,35016
13,Holly Pond Cafe,$,['Diners'],['(256) 796-2242'],(256) 796-2242,10800 US Highway 278 E,/biz/holly-pond-cafe-holly-pond?osq=restaurants,Arab,AL,35016
14,Burger King,$,['Burgers'],['(256) 931-0098'],(256) 931-0098,554 N Brindlee Mountain Pkwy,/biz/burger-king-arab?osq=restaurants,Arab,AL,35016
15,Jack’s,$,['Burgers'],['(256) 796-8006'],(256) 796-8006,10955 US Hwy 278 E,/biz/jacks-holly-pond?osq=restaurants,Arab,AL,35016
1,Top O’the River,$$,"['Seafood', 'Desserts', 'Chicken Wings']",['(256) 582-4567'],(256) 582-4567,7004 Val Monte Dr,/biz/top-o-the-river-guntersville?osq=restaurants,Arab,AL,35016
2,Wintzell’s Oyster House,$$,"['Seafood', 'Salad', 'Chicken Wings']",['(256) 582-5600'],(256) 582-5600,14455 US Hwy 431 S,/biz/wintzells-oyster-house-guntersville?osq=restaurants,Arab,AL,35016
3,Red Mountain Crawfish,$$,"['Seafood', 'Food Trucks']",['(205) 490-3219'],(205) 490-3219,Serving Birmingham and the Surrounding Area,/biz/red-mountain-crawfish-birmingham-2?osq=restaurants,Arab,AL,35016
4,Crawmama’s,$$,"['Seafood', 'Steakhouses']",['(256) 582-0484'],(256) 582-0484,5002 Webb Villa,/biz/crawmamas-guntersville-2?osq=restaurants,Arab,AL,35016
5,Aqua Restaurant,$$,"['American (Traditional)', 'Seafood', 'Steakhouses']",['(256) 264-0141'],(256) 264-0141,2140 Gunter Ave,/biz/aqua-restaurant-guntersville-3?osq=restaurants,Arab,AL,35016
6,Hog Leg Barbecue,$$,['Barbeque'],['(256) 753-2227'],(256) 753-2227,9413 Al Hwy 69,/biz/hog-leg-barbecue-arab?osq=restaurants,Arab,AL,35016
7,El Camino Real,$$,"['Mexican', 'Latin American']",['(256) 571-9089'],(256) 571-9089,14232 US Hwy 431,/biz/el-camino-real-guntersville?osq=restaurants,Arab,AL,35016
8,Fire Grill 231,$$,"['Seafood', 'Steakhouses', 'Italian']",['(256) 931-4745'],(256) 931-4745,183 N Brindlee Mountain Pkwy,/biz/fire-grill-231-arab?osq=restaurants,Arab,AL,35016
9,Sierra’s Mexicanisimo,$$,['Mexican'],['(256) 931-8226'],(256) 931-8226,1092 N Brindlee Mountain Pkwy,/biz/sierras-mexicanisimo-arab?osq=restaurants,Arab,AL,35016
10,Mt Fuji Japanese Restaurant,$$,['Japanese'],['(256) 586-8808'],(256) 586-8808,1410 N Brindlee Mountain Pkwy,/biz/mt-fuji-japanese-restaurant-arab?osq=restaurants,Arab,AL,35016
11,Walker’s Carry Out,$$,['Barbeque'],['(256) 498-5170'],(256) 498-5170,13935 US Hwy 231,/biz/walkers-carry-out-union-grove?osq=restaurants,Arab,AL,35016
12,Panda III Chinese Food,$$,['Chinese'],['(256) 931-2129'],(256) 931-2129,1070 N Brindlee Mountain Pkwy,/biz/panda-iii-chinese-food-arab?osq=restaurants,Arab,AL,35016
13,Pizza Hut,$$,"['Pizza', 'Italian', 'Chicken Wings']",['(256) 586-2511'],(256) 586-2511,639 Northgate Dr W,/biz/pizza-hut-arab?osq=restaurants,Arab,AL,35016
14,Cam’s Outside Cafe And BBQ,$$,['Barbeque'],['(205) 429-3100'],(205) 429-3100,Hwy 278 And Hwy 231,/biz/cams-outside-cafe-and-bbq-blountsville-3?osq=restaurants,Arab,AL,35016
15,ZAX Eats & Sweets,$$,"['Bakeries', 'Delis', 'Sandwiches']",['(256) 640-5507'],(256) 640-5507,1088 N Brindlee Mtn Pkwy,/biz/zax-eats-and-sweets-arab?osq=restaurants,Arab,AL,35016
16,The Snack Shack,$$,"['Barbeque', 'American (Traditional)']",,County Rd 35 & County Rd 67,,/biz/the-snack-shack-eva?osq=restaurants,Arab,AL,35016
1,The Spinning Groove,$,"['Vinyl Records', 'Music & DVDs', 'Bookstores']",22 N Main St,"Arab, AL 35016",(256) 200-2077,/biz/the-spinning-groove-arab?osq=shopping,Arab,AL,35016
2,Latham’s Pharmacy,$,['Drugstores'],178 S Main St,"Arab, AL 35016",(256) 586-4132,/biz/lathams-pharmacy-arab?osq=shopping,Arab,AL,35016
3,Barry Latham’s Drug,$,['Drugstores'],8180 Alabama Hwy 69,"Guntersville, AL 35976",(256) 753-9500,/biz/barry-lathams-drug-guntersville?osq=shopping,Arab,AL,35016
4,Big Lots,$,['Department Stores'],14228 Us Highway 431,"Guntersville, AL 35976",(256) 571-0280,/biz/big-lots-guntersville-2?osq=shopping,Arab,AL,35016
1,Generations Footwear,$$,"['Shoe Stores', 'Accessories']",['(256) 586-0304'],(256) 586-0304,580 N Brindlee Mtn Pkwy,/biz/generations-footwear-arab?osq=shopping,Arab,AL,35016
2,Piggly Wiggly,$$,['Grocery'],['(256) 582-2865'],(256) 582-2865,1455 Sunset Dr,/biz/piggly-wiggly-guntersville?osq=shopping,Arab,AL,35016
3,Gadsden Outfitters,$$,"['Paddleboarding', 'Outdoor Gear', 'Bike Rentals']",['(256) 547-7779'],(256) 547-7779,Serving Gadsden and the Surrounding Area,/biz/gadsden-outfitters-gadsden?osq=shopping,Arab,AL,35016
1,Walmart Supercenter,$$$,"['Grocery', 'Department Stores']",['(256) 878-0685'],(256) 878-0685,Serving Guntersville and the Surrounding Area,/biz/walmart-supercenter-guntersville?osq=shopping,Arab,AL,35016
1,Walmart Supercenter,$$$,"['Grocery', 'Department Stores']",['(256) 878-0685'],(256) 878-0685,Serving Guntersville and the Surrounding Area,/biz/smartstyle-guntersville,Arab,AL,35016
1,Eugene’s Hot Chicken,$,"['Food Trucks', 'Fast Food', 'Chicken Shop']",['(205) 322-7555'],(205) 322-7555,Serving Birmingham and the Surrounding Area,/biz/eugenes-hot-chicken-birmingham-3?osq=restaurants,Gardendale,AL,35071
