col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
1,Jack Brown’s Beer & Burger Joint,$,"['Burgers', 'Beer Bar']",['(205) 203-4512'],(205) 203-4512,2811 7th Ave S,/biz/jack-browns-beer-and-burger-joint-birmingham?osq=restaurants,Mountain Brook,AL,35210,
2,Urban Standard,$,"['Coffee & Tea', 'Sandwiches', 'Salad']",['(205) 250-8200'],(205) 250-8200,2320 2nd Ave N,/biz/urban-standard-birmingham?osq=restaurants,Mountain Brook,AL,35210,
3,Super Oriental Market and Red Pearl Restaurant,$,"['Grocery', 'Chinese']",['(866) 888-4045'],(866) 888-4045,243 W Valley Ave,/biz/super-oriental-market-and-red-pearl-restaurant-homewood?osq=restaurants,Mountain Brook,AL,35210,
4,Urban Cookhouse,$,['American (New)'],['(205) 879-0883'],(205) 879-0883,1920 29th Ave S,/biz/urban-cookhouse-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
5,Eugene’s Hot Chicken,$,"['Food Trucks', 'Fast Food', 'Chicken Shop']",['(205) 322-7555'],(205) 322-7555,Serving Birmingham and the Surrounding Area,/biz/eugenes-hot-chicken-birmingham-3?osq=restaurants,Mountain Brook,AL,35210,
6,Al’s Deli & Grill,$,"['Delis', 'Mediterranean']",['(205) 939-4278'],(205) 939-4278,1629 10th Ave S,/biz/als-deli-and-grill-birmingham?osq=restaurants,Mountain Brook,AL,35210,
7,Blue Pacific At Hoover Foodmart,$,['Thai'],['(205) 978-0754'],(205) 978-0754,3219 Lorna Rd,/biz/blue-pacific-at-hoover-foodmart-birmingham?osq=restaurants,Mountain Brook,AL,35210,
8,T-Bone’s Authentic Philly Style Cheesesteaks and Hoagies,$,"['Sandwiches', 'Cheesesteaks', 'Burgers']",['(205) 582-9993'],(205) 582-9993,1017 20th St S,/biz/t-bones-authentic-philly-style-cheesesteaks-and-hoagies-birmingham?osq=restaurants,Mountain Brook,AL,35210,
9,Metro Diner,$,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']",['(205) 484-9410'],(205) 484-9410,1088 Montgomery Hwy,/biz/metro-diner-vestavia-2?osq=restaurants,Mountain Brook,AL,35210,
10,Masaman Thai Kitchen,$,"['Thai', 'Sushi Bars']",['(205) 200-0711'],(205) 200-0711,790 Montgomery Hwy,/biz/masaman-thai-kitchen-birmingham?osq=restaurants,Mountain Brook,AL,35210,
11,Urban Cookhouse,$,"['Salad', 'Soup', 'Sandwiches']",['(205) 969-6700'],(205) 969-6700,250 Summit Blvd,/biz/urban-cookhouse-birmingham?osq=restaurants,Mountain Brook,AL,35210,
12,Steak ’n Shake,$,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)']",['(205) 982-5789'],(205) 982-5789,1817 Montgomery Hwy S,/biz/steak-n-shake-hoover?osq=restaurants,Mountain Brook,AL,35210,
13,The Red Cat,$,"['Coffee & Tea', 'Wraps', 'Juice Bars & Smoothies']",['(205) 616-8450'],(205) 616-8450,2901 2nd Ave S,/biz/the-red-cat-birmingham-4?osq=restaurants,Mountain Brook,AL,35210,
14,Octane Uptown,$,"['Coffee & Tea', 'Cocktail Bars', 'Cafes']",['(205) 224-5900'],(205) 224-5900,2221 Richard Arrington Jr Blvd N,/biz/octane-uptown-birmingham?osq=restaurants,Mountain Brook,AL,35210,
