zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long,db_city
65733,Protem,MO,restaurants,0,0,0,0,0,0,0,0,36.5011617155165,-92.80462358891964,Protem
65733,Protem,MO,shopping,0,0,0,0,0,0,0,0,36.52,-92.85,Protem
65733,Protem,MO,localservices,0,0,0,0,0,0,0,0,36.52,-92.85,Protem
65768,Vanzant,MO,restaurants,0,0,0,0,0,0,0,0,36.96,-92.3,Vanzant
65768,Vanzant,MO,shopping,0,0,0,0,0,0,0,0,36.96,-92.3,Vanzant
65768,Vanzant,MO,localservices,0,0,0,0,0,0,0,0,36.96,-92.3,Vanzant
65772,Washburn,MO,restaurants,1,2,0,0,0,0,0,0,36.587369,-93.964885,Washburn
65772,Washburn,MO,shopping,0,0,0,0,0,0,0,0,36.6,-94.02,Washburn
65772,Washburn,MO,localservices,0,0,0,0,0,0,0,0,36.6,-94.02,Washburn
59001,Absarokee,MT,restaurants,1,8,1,8,0,0,0,0,45.507813784999534,-109.44392490205068,Absarokee
59001,Absarokee,MT,shopping,0,0,0,0,0,0,0,0,45.5,-109.56,Absarokee
59001,Absarokee,MT,localservices,0,0,0,0,0,0,0,0,45.5,-109.56,Absarokee
59074,Ryegate,MT,restaurants,0,0,0,0,0,0,0,0,46.39,-109.38,Ryegate
59074,Ryegate,MT,shopping,0,0,0,0,0,0,0,0,46.39,-109.38,Ryegate
59074,Ryegate,MT,localservices,0,0,0,0,0,0,0,0,46.39,-109.38,Ryegate
59215,Circle,MT,restaurants,0,0,1,4,0,0,0,0,47.4174133135187,-105.588637649876,Circle
59215,Circle,MT,shopping,0,0,0,0,0,0,0,0,47.56,-105.77,Circle
59215,Circle,MT,localservices,0,0,0,0,0,0,0,0,47.56,-105.77,Circle
59241,Hinsdale,MT,restaurants,0,0,0,0,0,0,0,0,48.39396,-107.08465,Hinsdale
59241,Hinsdale,MT,shopping,0,0,0,0,0,0,0,0,48.42,-107.03,Hinsdale
59241,Hinsdale,MT,localservices,0,0,0,0,0,0,0,0,48.42,-107.03,Hinsdale
59414,Black Eagle,MT,restaurants,0,0,3,87,0,0,0,0,47.525835666666666,-111.278835,Black Eagle
59414,Black Eagle,MT,shopping,0,0,0,0,0,0,0,0,47.529502,-111.279444,Black Eagle
59414,Black Eagle,MT,localservices,0,0,0,0,0,0,0,0,47.529502,-111.279444,Black Eagle
59731,Garrison,MT,restaurants,0,0,0,0,0,0,0,0,46.59,-112.83,Garrison
59731,Garrison,MT,shopping,0,0,0,0,0,0,0,0,46.59,-112.83,Garrison
59731,Garrison,MT,localservices,0,0,0,0,0,0,0,0,46.59,-112.83,Garrison
59750,Butte,MT,restaurants,0,0,0,0,0,0,0,0,45.9,-112.73,Butte
59750,Butte,MT,shopping,0,0,0,0,0,0,0,0,45.9,-112.73,Butte
59750,Butte,MT,localservices,0,0,0,0,0,0,0,0,45.9,-112.73,Butte
59820,Alberton,MT,restaurants,0,0,1,27,0,0,0,0,47.0033271984172,-114.491324718811,Alberton
59820,Alberton,MT,shopping,1,10,0,0,0,0,0,0,47.00335,-114.47806,Alberton
59820,Alberton,MT,localservices,0,0,0,0,0,0,0,0,46.86,-114.59,Alberton
59866,Saint Regis,MT,restaurants,4,83,1,39,0,0,0,0,47.297606380000005,-115.09665336,Saint Regis
59866,Saint Regis,MT,shopping,1,50,0,0,1,1,0,0,47.315492266666666,-115.06359506666668,Saint Regis
59866,Saint Regis,MT,localservices,0,0,0,0,0,0,0,0,47.3007,-115.09546,Saint Regis
68010,Boys Town,NE,restaurants,0,0,0,0,0,0,0,0,41.262555,-96.1265934,Boys Town
68010,Boys Town,NE,shopping,0,0,0,0,0,0,0,0,41.262555,-96.1265934,Boys Town
68010,Boys Town,NE,localservices,0,0,0,0,0,0,0,0,41.2534432,-96.1343892,Boys Town
68047,Pender,NE,restaurants,0,0,1,1,0,0,0,0,42.11153385,-96.7059802,Pender
68047,Pender,NE,shopping,1,1,0,0,0,0,0,0,42.1142249,-96.7073406,Pender
68047,Pender,NE,localservices,0,0,0,0,0,0,0,0,42.11,-96.71,Pender
68144,Omaha,NE,restaurants,41,1077,24,1892,1,173,0,0,41.235191826493825,-96.11977121141878,Omaha
68144,Omaha,NE,shopping,9,101,47,288,8,74,3,10,41.23170705162192,-96.1224190041224,Omaha
68144,Omaha,NE,localservices,1,5,6,46,0,0,0,0,41.23171669030313,-96.11871450210413,Omaha
68341,De Witt,NE,restaurants,0,0,0,0,0,0,0,0,40.39,-96.92,De Witt
68341,De Witt,NE,shopping,0,0,0,0,0,0,0,0,40.39,-96.92,De Witt
68341,De Witt,NE,localservices,0,0,0,0,0,0,0,0,40.39,-96.92,De Witt
68431,Rulo,NE,restaurants,0,0,0,0,0,0,0,0,40.05,-95.43,Rulo
68431,Rulo,NE,shopping,0,0,0,0,0,0,0,0,40.05,-95.43,Rulo
68431,Rulo,NE,localservices,0,0,0,0,0,0,0,0,40.05,-95.43,Rulo
68455,Union,NE,restaurants,0,0,0,0,0,0,0,0,40.81,-95.92,Union
68455,Union,NE,shopping,0,0,0,0,0,0,0,0,40.8132591,-95.9202423,Union
68455,Union,NE,localservices,0,0,0,0,0,0,0,0,40.81,-95.92,Union
68643,Leigh,NE,restaurants,0,0,0,0,0,0,0,0,41.7,-97.23,Leigh
68643,Leigh,NE,shopping,0,0,0,0,0,0,0,0,41.7,-97.23,Leigh
68643,Leigh,NE,localservices,0,0,0,0,0,0,0,0,41.7,-97.23,Leigh
68757,Newcastle,NE,restaurants,0,0,0,0,0,0,0,0,42.65,-96.87,Newcastle
68757,Newcastle,NE,shopping,0,0,0,0,0,0,0,0,42.65,-96.87,Newcastle
68757,Newcastle,NE,localservices,0,0,0,0,0,0,0,0,42.65,-96.87,Newcastle
68812,Amherst,NE,restaurants,1,4,0,0,0,0,0,0,40.83758,-99.27096,Amherst
68812,Amherst,NE,shopping,0,0,0,0,0,0,0,0,40.83,-99.26,Amherst
68812,Amherst,NE,localservices,0,0,0,0,0,0,0,0,40.83,-99.26,Amherst
68850,Lexington,NE,restaurants,9,136,3,71,0,0,0,0,40.77036026622651,-99.74239075882232,Lexington
68850,Lexington,NE,shopping,1,1,1,6,1,5,0,0,40.765792902798374,-99.74113197354126,Lexington
