zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4
35016,Arab,AL,34.333495993350674,-86.50098532396206,4,19,7,55,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35071,Gardendale,AL,33.650618211197425,-86.81807243244141,11,99,10,275,0,0,0,0,1,8,12,33,1,4,0,0,0,0,0,0,0,0,0,0
35210,Birmingham,AL,33.52796994574866,-86.72059444872902,25,549,5,255,0,0,0,0,7,69,11,56,2,15,0,0,0,0,1,3,0,0,0,0
35674,Tuscumbia,AL,34.71545531993946,-87.70237792296439,8,77,2,34,0,0,1,9,0,0,3,12,1,3,0,0,0,0,0,0,0,0,0,0
35677,Waterloo,AL,34.91,-88.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35806,Huntsville,AL,34.74149608110167,-86.68080948348654,31,1152,36,3006,4,590,0,0,11,48,38,240,7,23,1,3,2,2,3,17,1,7,0,0
35972,Gallant,AL,33.99,-86.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36088,Tuskegee,AL,32.4179243475783,-85.7123675523651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36093,Wetumpka,AL,32.493810825423495,-86.21104648367029,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36426,Brewton,AL,31.131654694244624,-87.09863051377177,5,17,4,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36441,Flomaton,AL,31.010627688960124,-87.26108517913202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36444,Franklin,AL,31.71,-87.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36529,Deer Park,AL,31.21,-88.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36585,Wagarville,AL,31.386908000000002,-88.037925,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36605,Mobile,AL,30.61764695889234,-88.08842367546521,4,13,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36618,Mobile,AL,30.733420223496854,-88.17595237853159,7,35,4,23,0,0,0,0,4,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0
36784,Thomasville,AL,31.92796202536884,-87.73883549264406,4,17,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36877,Smiths Station,AL,32.52778923369969,-85.0906270237665,2,14,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99578,Eek,AK,60.21,-162.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99621,Kwethluk,AK,60.79,-161.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99826,Gustavus,AK,58.42,-135.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85003,Phoenix,AZ,33.45,-112.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85021,Phoenix,AZ,33.558849549622934,-112.10181093986854,27,1294,20,2466,1,12,0,0,6,283,15,181,0,0,0,0,1,2,2,35,0,0,0,0
85209,Mesa,AZ,33.38114178250453,-111.65326403833352,20,1436,13,1937,0,0,0,0,8,38,16,457,1,1,0,0,3,23,4,46,0,0,0,0
85335,El Mirage,AZ,33.607542867398514,-112.32855335632557,10,349,4,334,0,0,0,0,4,64,2,40,1,2,0,0,0,0,0,0,0,0,0,0
86331,Jerome,AZ,34.75018820161074,-112.11562097340394,2,354,8,2593,0,0,0,0,3,8,13,77,7,93,1,46,0,0,1,4,0,0,0,0
86406,Lake Havasu Stadt,AZ,34.46795372854354,-114.27974614029941,5,89,2,140,0,0,0,0,1,1,1,5,1,8,0,0,1,10,1,5,0,0,0,0
86413,Golden Valley,AZ,35.2224025705505,-114.21507202425724,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71646,Hamburg,AR,33.2294305,-91.797069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71837,Fouke,AR,33.2632968012906,-93.88559731619895,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71956,Mountain Pine,AR,34.57,-93.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72068,Higginson,AR,35.19,-91.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72135,Roland,AR,34.89,-92.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72415,Black Rock,AR,36.1057748,-91.10535829999999,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72425,Delaplaine,AR,36.23,-90.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72450,Paragould,AR,36.05203461867201,-90.5110852716825,20,144,10,109,0,0,0,0,2,2,6,11,2,3,0,0,0,0,0,0,0,0,0,0
72459,Ravenden,AR,36.23,-91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72569,Poughkeepsie,AR,36.15,-91.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72577,Sidney,AR,36.0,-91.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72633,Everton,AR,36.15,-92.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72940,Huntington,AR,35.084624,-94.26302700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90039,Los Angeles,CA,34.116137454948806,-118.26105229703717,28,5704,31,17085,2,1723,0,0,7,163,34,2329,5,69,1,10,3,96,6,295,0,0,0,0
