zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4
10001,New York,NY,40.75,-74.0,47,4032,47,7811,1,195,3,76,9,35,52,1212,15,271,10,91,1,9,16,876,2,11,1,12
10002,New York,NY,40.71,-73.99,51,11313,65,22793,3,790,2,325,18,182,42,1036,19,436,11,214,12,339,13,339,3,62,0,0
10003,New York,NY,40.73,-73.99,40,9453,71,46659,7,4198,2,257,14,2713,57,2931,25,1134,5,75,12,434,20,1086,12,296,1,9
10004,New York,NY,40.69,-74.02,47,2869,42,8986,4,1627,3,1159,0,0,13,143,6,116,2,5,2,142,2,34,1,35,0,0
10005,New York,NY,40.71,-74.01,20,1630,15,1696,2,163,2,180,3,25,12,465,1,2,4,195,0,0,4,96,0,0,0,0
10006,New York,NY,40.71,-74.01,14,1001,22,4872,3,333,0,0,1,8,10,213,2,112,2,13,1,8,1,9,0,0,0,0
10007,New York,NY,40.71,-74.01,28,2389,45,6734,6,1072,3,363,7,103,21,329,18,403,2,31,1,7,5,47,1,81,1,9
10008,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,New York,NY,40.73,-73.98,37,4920,76,23505,10,3476,1,414,18,1738,43,1270,10,424,5,27,12,388,19,586,2,38,0,0
10010,New York,NY,40.74,-73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,New York,NY,40.74,-74.0,32,3022,73,21503,9,5411,2,219,5,22,60,2124,31,1867,8,109,4,20,27,1568,9,292,4,53
10012,New York,NY,40.73,-74.0,27,6787,72,29086,28,19227,2,896,5,734,27,1454,49,1988,28,431,2,9,15,459,4,556,4,60
10013,New York,NY,40.72,-74.0,25,5029,74,19505,13,2796,4,896,11,129,44,1842,27,754,14,141,6,300,18,433,3,37,0,0
10014,New York,NY,40.73,-74.01,17,5524,72,28388,27,14716,4,2612,4,100,47,1232,45,656,14,131,5,412,18,548,7,114,1,12
10015,New York,NY,40.71,-74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,New York,NY,40.75,-73.98,35,2926,81,23718,8,583,3,942,7,109,46,2191,25,798,11,62,9,249,29,1089,18,301,2,6
10017,New York,NY,40.75,-73.97,42,3299,44,8796,7,3918,2,1061,5,70,55,1536,28,1148,7,87,3,25,13,410,4,44,2,32
10018,New York,NY,40.76,-73.99,45,5350,60,12976,4,1141,0,0,7,89,49,1725,19,302,4,22,2,15,12,440,0,0,1,119
10019,New York,NY,40.77,-73.99,30,4968,75,23401,18,8449,1,62,7,253,54,1644,23,494,11,63,4,232,20,440,9,213,2,26
10020,New York,NY,40.76,-73.98,8,431,12,2215,9,3102,1,2667,2,38,8,676,8,236,2,33,1,20,0,0,1,29,0,0
