zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10001,New York,NY,restaurants,6,9124,15,16306,2,3570,0,0,40.75,-74.0
10001,New York,NY,shopping,1,311,22,5811,2,201,0,0,40.75,-74.0
10001,New York,NY,localservices,0,0,5,847,0,0,0,0,40.75,-74.0
10002,New York,NY,restaurants,7,7448,24,30513,3,4269,0,0,40.71,-73.99
10002,New York,NY,shopping,5,409,13,1163,6,437,1,135,40.71,-73.99
10002,New York,NY,localservices,3,261,5,209,0,0,0,0,40.71,-73.99
10003,New York,NY,restaurants,8,12100,29,66493,3,6702,2,4192,40.73,-73.99
10003,New York,NY,shopping,6,2392,22,3836,5,1147,0,0,40.73,-73.99
10003,New York,NY,localservices,3,341,2,830,0,0,0,0,40.73,-73.99
10004,New York,NY,restaurants,6,1242,14,7096,4,1626,2,1150,40.69,-74.02
10004,New York,NY,shopping,0,0,1,44,0,0,0,0,40.69,-74.02
10004,New York,NY,localservices,1,117,1,18,0,0,0,0,40.69,-74.02
10005,New York,NY,restaurants,2,873,2,610,0,0,0,0,40.71,-74.01
10005,New York,NY,shopping,0,0,10,409,0,0,2,93,40.71,-74.01
10005,New York,NY,localservices,0,0,3,93,0,0,0,0,40.71,-74.01
10006,New York,NY,restaurants,9,896,20,4765,3,333,0,0,40.71,-74.01
10006,New York,NY,shopping,1,8,10,213,2,112,2,13,40.71,-74.01
10006,New York,NY,localservices,1,8,1,9,0,0,0,0,40.71,-74.01
10007,New York,NY,restaurants,4,1136,14,4360,4,949,0,0,40.71,-74.01
10007,New York,NY,shopping,2,85,7,1562,3,221,0,0,40.71,-74.01
10007,New York,NY,localservices,0,0,0,0,1,81,0,0,40.71,-74.01
10008,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10008,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10008,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10009,New York,NY,restaurants,3,2949,13,15795,1,1069,1,414,40.73,-73.98
10009,New York,NY,shopping,3,1513,5,275,1,131,0,0,40.73,-73.98
10009,New York,NY,localservices,4,291,3,146,0,0,0,0,40.73,-73.98
10010,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.74,-73.98
10010,New York,NY,shopping,0,0,0,0,0,0,0,0,40.74,-73.98
10010,New York,NY,localservices,0,0,0,0,0,0,0,0,40.74,-73.98
10011,New York,NY,restaurants,2,2976,13,20374,8,11214,3,6526,40.74,-74.0
10011,New York,NY,shopping,1,85,17,4602,4,1054,0,0,40.74,-74.0
10011,New York,NY,localservices,0,0,8,1311,1,102,0,0,40.74,-74.0
10012,New York,NY,restaurants,6,8752,16,28861,14,17320,0,0,40.73,-74.0
10012,New York,NY,shopping,2,870,11,3017,10,2459,0,0,40.73,-74.0
10012,New York,NY,localservices,0,0,4,248,1,508,0,0,40.73,-74.0
10013,New York,NY,restaurants,7,9859,15,17098,5,5110,2,941,40.72,-74.0
10013,New York,NY,shopping,4,456,22,3069,6,849,0,0,40.72,-74.0
10013,New York,NY,localservices,2,189,3,226,0,0,0,0,40.72,-74.0
10014,New York,NY,restaurants,4,5991,19,18793,7,9658,2,2533,40.73,-74.01
10014,New York,NY,shopping,4,352,15,1088,3,537,0,0,40.73,-74.01
10014,New York,NY,localservices,4,404,4,317,0,0,0,0,40.73,-74.01
10015,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.0
10015,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.0
10015,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.0
10016,New York,NY,restaurants,0,0,18,16710,5,5576,1,897,40.75,-73.98
10016,New York,NY,shopping,0,0,19,2372,5,523,0,0,40.75,-73.98
10016,New York,NY,localservices,2,61,8,674,0,0,0,0,40.75,-73.98
10017,New York,NY,restaurants,3,2552,6,4339,9,8641,3,3913,40.75,-73.97
10017,New York,NY,shopping,0,0,9,1050,2,562,0,0,40.75,-73.97
10017,New York,NY,localservices,0,0,5,408,0,0,0,0,40.75,-73.97
10018,New York,NY,restaurants,4,3515,12,8445,0,0,2,3442,40.76,-73.99
10018,New York,NY,shopping,2,154,11,2434,1,38,0,0,40.76,-73.99
10018,New York,NY,localservices,1,72,2,386,0,0,1,119,40.76,-73.99
10019,New York,NY,restaurants,1,9081,19,27836,9,7599,6,9652,40.77,-73.99
10019,New York,NY,shopping,1,145,9,1357,4,596,1,486,40.77,-73.99
10019,New York,NY,localservices,1,145,1,75,1,47,0,0,40.77,-73.99
10020,New York,NY,restaurants,1,168,5,1530,6,2789,1,2667,40.76,-73.98
10020,New York,NY,shopping,0,0,2,607,1,107,0,0,40.76,-73.98
10020,New York,NY,localservices,0,0,0,0,0,0,0,0,40.76,-73.98
10021,New York,NY,restaurants,2,391,14,8308,0,0,4,1699,40.77,-73.96
10021,New York,NY,shopping,0,0,10,670,3,153,3,133,40.77,-73.96
10021,New York,NY,localservices,2,71,3,50,2,204,0,0,40.77,-73.96
10022,New York,NY,restaurants,5,4989,19,16624,6,8022,1,702,40.76,-73.97
10022,New York,NY,shopping,2,216,9,1051,5,1127,2,1050,40.76,-73.97
10022,New York,NY,localservices,1,58,1,101,0,0,0,0,40.76,-73.97
10023,New York,NY,restaurants,5,2253,14,8660,11,7974,4,2951,40.78,-73.98
10023,New York,NY,shopping,1,60,18,1292,8,789,0,0,40.78,-73.98
10023,New York,NY,localservices,0,0,5,136,2,491,0,0,40.78,-73.98
10024,New York,NY,restaurants,1,358,38,29655,6,1831,0,0,40.8,-73.97
10024,New York,NY,shopping,6,239,22,1755,4,326,0,0,40.8,-73.97
10024,New York,NY,localservices,2,130,4,320,1,41,0,0,40.8,-73.97
10025,New York,NY,restaurants,7,2633,16,7061,1,403,0,0,40.8,-73.97
10025,New York,NY,shopping,4,134,16,1015,2,76,0,0,40.8,-73.97
10025,New York,NY,localservices,2,63,3,116,0,0,0,0,40.8,-73.97
10026,New York,NY,restaurants,2,86,38,13185,2,249,0,0,40.8,-73.95
10026,New York,NY,shopping,6,89,8,276,3,45,3,23,40.8,-73.95
10026,New York,NY,localservices,4,64,5,216,3,20,2,14,40.8,-73.95
10027,New York,NY,restaurants,2,476,27,11852,3,3033,1,104,40.81,-73.95
