zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4
10001,New York,NY,40.75,-74.0,6,9124,15,16306,2,3570,0,0,1,311,22,5811,2,201,0,0,0,0,5,847,0,0,0,0
10002,New York,NY,40.71,-73.99,7,7448,24,30513,3,4269,0,0,5,409,13,1163,6,437,1,135,3,261,5,209,0,0,0,0
10003,New York,NY,40.73,-73.99,8,12100,29,66493,3,6702,2,4192,6,2392,22,3836,5,1147,0,0,3,341,2,830,0,0,0,0
10004,New York,NY,40.69,-74.02,6,1242,14,7096,4,1626,2,1150,0,0,1,44,0,0,0,0,1,117,1,18,0,0,0,0
10005,New York,NY,40.71,-74.01,2,873,2,610,0,0,0,0,0,0,10,409,0,0,2,93,0,0,3,93,0,0,0,0
10006,New York,NY,40.71,-74.01,9,896,20,4765,3,333,0,0,1,8,10,213,2,112,2,13,1,8,1,9,0,0,0,0
10007,New York,NY,40.71,-74.01,4,1136,14,4360,4,949,0,0,2,85,7,1562,3,221,0,0,0,0,0,0,1,81,0,0
10008,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,New York,NY,40.73,-73.98,3,2949,13,15795,1,1069,1,414,3,1513,5,275,1,131,0,0,4,291,3,146,0,0,0,0
10010,New York,NY,40.74,-73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,New York,NY,40.74,-74.0,2,2976,13,20374,8,11214,3,6526,1,85,17,4602,4,1054,0,0,0,0,8,1311,1,102,0,0
10012,New York,NY,40.73,-74.0,6,8752,16,28861,14,17320,0,0,2,870,11,3017,10,2459,0,0,0,0,4,248,1,508,0,0
10013,New York,NY,40.72,-74.0,7,9859,15,17098,5,5110,2,941,4,456,22,3069,6,849,0,0,2,189,3,226,0,0,0,0
10014,New York,NY,40.73,-74.01,4,5991,19,18793,7,9658,2,2533,4,352,15,1088,3,537,0,0,4,404,4,317,0,0,0,0
10015,New York,NY,40.71,-74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,New York,NY,40.75,-73.98,0,0,18,16710,5,5576,1,897,0,0,19,2372,5,523,0,0,2,61,8,674,0,0,0,0
10017,New York,NY,40.75,-73.97,3,2552,6,4339,9,8641,3,3913,0,0,9,1050,2,562,0,0,0,0,5,408,0,0,0,0
10018,New York,NY,40.76,-73.99,4,3515,12,8445,0,0,2,3442,2,154,11,2434,1,38,0,0,1,72,2,386,0,0,1,119
10019,New York,NY,40.77,-73.99,1,9081,19,27836,9,7599,6,9652,1,145,9,1357,4,596,1,486,1,145,1,75,1,47,0,0
10020,New York,NY,40.76,-73.98,1,168,5,1530,6,2789,1,2667,0,0,2,607,1,107,0,0,0,0,0,0,0,0,0,0
10021,New York,NY,40.77,-73.96,2,391,14,8308,0,0,4,1699,0,0,10,670,3,153,3,133,2,71,3,50,2,204,0,0
10022,New York,NY,40.76,-73.97,5,4989,19,16624,6,8022,1,702,2,216,9,1051,5,1127,2,1050,1,58,1,101,0,0,0,0
10023,New York,NY,40.78,-73.98,5,2253,14,8660,11,7974,4,2951,1,60,18,1292,8,789,0,0,0,0,5,136,2,491,0,0
10024,New York,NY,40.8,-73.97,1,358,38,29655,6,1831,0,0,6,239,22,1755,4,326,0,0,2,130,4,320,1,41,0,0
10025,New York,NY,40.8,-73.97,7,2633,16,7061,1,403,0,0,4,134,16,1015,2,76,0,0,2,63,3,116,0,0,0,0
10026,New York,NY,40.8,-73.95,2,86,38,13185,2,249,0,0,6,89,8,276,3,45,3,23,4,64,5,216,3,20,2,14
10027,New York,NY,40.81,-73.95,2,476,27,11852,3,3033,1,104,1,3,18,500,4,68,1,8,2,23,5,227,1,6,0,0
10028,New York,NY,40.78,-73.95,3,1383,18,9519,2,1331,1,83,2,58,13,775,4,364,1,39,2,97,4,161,0,0,1,16
10029,New York,NY,40.79,-73.94,14,2163,22,4466,2,1025,1,134,7,200,10,162,0,0,2,16,3,51,5,49,1,5,0,0
10030,New York,NY,40.82,-73.94,12,688,12,1719,1,104,0,0,4,73,7,76,2,58,0,0,4,22,4,40,0,0,0,0
10031,New York,NY,40.83,-73.95,9,940,26,6755,0,0,0,0,4,39,13,201,4,24,0,0,5,65,7,128,0,0,1,10
10032,New York,NY,40.84,-73.94,25,2113,12,2228,0,0,0,0,11,53,17,246,2,32,1,2,6,49,3,28,2,23,0,0
10033,New York,NY,40.85,-73.93,17,1198,28,5021,0,0,0,0,6,30,16,147,2,13,5,57,4,29,4,40,1,12,1,17
10034,New York,NY,40.87,-73.92,10,686,26,6156,1,90,0,0,4,58,13,213,1,1,0,0,2,18,3,52,1,4,0,0
10035,New York,NY,40.8,-73.93,4,281,7,1669,0,0,0,0,5,68,6,849,0,0,0,0,1,8,2,22,0,0,0,0
10036,New York,NY,40.76,-73.99,7,7281,19,33459,3,3566,1,823,3,818,17,2663,3,241,1,60,2,497,8,981,0,0,0,0
10037,New York,NY,40.81,-73.94,2,158,0,0,0,0,0,0,2,32,3,32,0,0,0,0,0,0,2,69,0,0,0,0
10038,New York,NY,40.71,-74.0,4,956,17,6191,1,433,1,370,5,294,3,99,0,0,0,0,2,170,1,239,0,0,0,0
10039,New York,NY,40.83,-73.94,0,0,2,256,0,0,0,0,2,13,2,38,0,0,0,0,1,4,2,37,1,7,0,0
10040,New York,NY,40.86,-73.93,4,530,12,2060,1,469,0,0,6,31,6,114,0,0,0,0,2,24,0,0,0,0,0,0
10041,New York,NY,40.71,-73.99,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10043,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,New York,NY,40.76,-73.95,4,155,2,181,0,0,0,0,2,14,0,0,0,0,0,0,1,1,0,0,0,0,1,10
10045,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10046,New York,NY,40.71,-74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10047,New York,NY,40.71,-74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10048,New York,NY,40.71,-74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10055,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10060,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
