zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
65733.0,Protem,MO,restaurants,0,0,0,0,0,0,0,0,36.5011617155165,-92.80462358891964
65733.0,Protem,MO,shopping,0,0,0,0,0,0,0,0,,
65733.0,Protem,MO,localservices,0,0,0,0,0,0,0,0,,
65768.0,,,restaurants,0,0,0,0,0,0,0,0,,
65768.0,,,shopping,0,0,0,0,0,0,0,0,,
65768.0,,,localservices,0,0,0,0,0,0,0,0,,
65772.0,Washburn,MO,restaurants,1,2,0,0,0,0,0,0,36.587369,-93.964885
65772.0,Washburn,MO,shopping,0,0,0,0,0,0,0,0,,
65772.0,Washburn,MO,localservices,0,0,0,0,0,0,0,0,,
59001.0,Absarokee,MT,restaurants,1,8,1,8,0,0,0,0,45.507813784999534,-109.44392490205068
59001.0,Absarokee,MT,shopping,0,0,0,0,0,0,0,0,,
59001.0,Absarokee,MT,localservices,0,0,0,0,0,0,0,0,,
59074.0,,,restaurants,0,0,0,0,0,0,0,0,,
59074.0,,,shopping,0,0,0,0,0,0,0,0,,
59074.0,,,localservices,0,0,0,0,0,0,0,0,,
59215.0,Circle,MT,restaurants,0,0,1,4,0,0,0,0,47.4174133135187,-105.588637649876
59215.0,Circle,MT,shopping,0,0,0,0,0,0,0,0,,
59215.0,Circle,MT,localservices,0,0,0,0,0,0,0,0,,
59241.0,Hinsdale,MT,restaurants,0,0,0,0,0,0,0,0,48.39396,-107.08465
59241.0,Hinsdale,MT,shopping,0,0,0,0,0,0,0,0,,
59241.0,Hinsdale,MT,localservices,0,0,0,0,0,0,0,0,,
59414.0,Black Eagle,MT,restaurants,0,0,3,87,0,0,0,0,47.525835666666666,-111.278835
59414.0,Black Eagle,MT,shopping,0,0,0,0,0,0,0,0,47.529502,-111.279444
59414.0,Black Eagle,MT,localservices,0,0,0,0,0,0,0,0,47.529502,-111.279444
59731.0,,,restaurants,0,0,0,0,0,0,0,0,,
59731.0,,,shopping,0,0,0,0,0,0,0,0,,
59731.0,,,localservices,0,0,0,0,0,0,0,0,,
59750.0,,,restaurants,0,0,0,0,0,0,0,0,,
59750.0,,,shopping,0,0,0,0,0,0,0,0,,
59750.0,,,localservices,0,0,0,0,0,0,0,0,,
59820.0,Alberton,MT,restaurants,0,0,1,27,0,0,0,0,47.0033271984172,-114.491324718811
59820.0,Alberton,MT,shopping,1,10,0,0,0,0,0,0,47.00335,-114.47806
59820.0,Alberton,MT,localservices,0,0,0,0,0,0,0,0,,
59866.0,Saint Regis,MT,restaurants,4,83,1,39,0,0,0,0,47.297606380000005,-115.09665336
59866.0,Saint Regis,MT,shopping,1,50,0,0,1,1,0,0,47.315492266666666,-115.06359506666668
59866.0,Saint Regis,MT,localservices,0,0,0,0,0,0,0,0,47.3007,-115.09546
68010.0,Boys Town,NE,restaurants,0,0,0,0,0,0,0,0,41.262555,-96.1265934
68010.0,Boys Town,NE,shopping,0,0,0,0,0,0,0,0,41.262555,-96.1265934
68010.0,Boys Town,NE,localservices,0,0,0,0,0,0,0,0,41.2534432,-96.1343892
68047.0,Pender,NE,restaurants,0,0,1,1,0,0,0,0,42.11153385,-96.7059802
68047.0,Pender,NE,shopping,1,1,0,0,0,0,0,0,42.1142249,-96.7073406
68047.0,Pender,NE,localservices,0,0,0,0,0,0,0,0,,
68144.0,Omaha,NE,restaurants,41,1077,24,1892,1,173,0,0,41.235191826493825,-96.11977121141878
68144.0,Omaha,NE,shopping,9,101,47,288,8,74,3,10,41.23170705162192,-96.1224190041224
68144.0,Omaha,NE,localservices,1,5,6,46,0,0,0,0,41.23171669030313,-96.11871450210413
68341.0,,,restaurants,0,0,0,0,0,0,0,0,,
68341.0,,,shopping,0,0,0,0,0,0,0,0,,
68341.0,,,localservices,0,0,0,0,0,0,0,0,,
68431.0,,,restaurants,0,0,0,0,0,0,0,0,,
68431.0,,,shopping,0,0,0,0,0,0,0,0,,
68431.0,,,localservices,0,0,0,0,0,0,0,0,,
68455.0,,,restaurants,0,0,0,0,0,0,0,0,,
68455.0,,,shopping,0,0,0,0,0,0,0,0,40.8132591,-95.9202423
68455.0,,,localservices,0,0,0,0,0,0,0,0,,
68643.0,,,restaurants,0,0,0,0,0,0,0,0,,
68643.0,,,shopping,0,0,0,0,0,0,0,0,,
68643.0,,,localservices,0,0,0,0,0,0,0,0,,
68757.0,,,restaurants,0,0,0,0,0,0,0,0,,
68757.0,,,shopping,0,0,0,0,0,0,0,0,,
68757.0,,,localservices,0,0,0,0,0,0,0,0,,
